date,user,tweets,positive,negative,average_sentiment
01/01/2018,test_user_1@test.com,47,33,14,70.2128
08/01/2018,test_user_1@test.com,90,41,49,45.5556
15/01/2018,test_user_1@test.com,7,5,2,71.4286
22/01/2018,test_user_1@test.com,56,33,23,58.9286
29/01/2018,test_user_1@test.com,58,48,10,82.7586
05/02/2018,test_user_1@test.com,15,13,2,86.6667
12/02/2018,test_user_1@test.com,91,80,11,87.9121
19/02/2018,test_user_1@test.com,25,24,1,96.0000
26/02/2018,test_user_1@test.com,81,3,78,3.7037
05/03/2018,test_user_1@test.com,39,35,4,89.7436
12/03/2018,test_user_1@test.com,47,13,34,27.6596
19/03/2018,test_user_1@test.com,46,40,6,86.9565
26/03/2018,test_user_1@test.com,95,1,94,1.0526
02/04/2018,test_user_1@test.com,80,36,44,45.0000
09/04/2018,test_user_1@test.com,49,44,5,89.7959
16/04/2018,test_user_1@test.com,73,54,19,73.9726
23/04/2018,test_user_1@test.com,68,26,42,38.2353
30/04/2018,test_user_1@test.com,44,18,26,40.9091
07/05/2018,test_user_1@test.com,62,48,14,77.4194
14/05/2018,test_user_1@test.com,8,7,1,87.5000
21/05/2018,test_user_1@test.com,99,57,42,57.5758
28/05/2018,test_user_1@test.com,95,93,2,97.8947
04/06/2018,test_user_1@test.com,55,14,41,25.4545
11/06/2018,test_user_1@test.com,44,0,44,0.0000
18/06/2018,test_user_1@test.com,47,41,6,87.2340
25/06/2018,test_user_1@test.com,17,2,15,11.7647
02/07/2018,test_user_1@test.com,36,24,12,66.6667
09/07/2018,test_user_1@test.com,24,0,24,0.0000
16/07/2018,test_user_1@test.com,23,8,15,34.7826
23/07/2018,test_user_1@test.com,49,6,43,12.2449
01/01/2018,test_user_2@test.com,29,26,3,89.6552
08/01/2018,test_user_2@test.com,39,9,30,23.0769
15/01/2018,test_user_2@test.com,38,13,25,34.2105
22/01/2018,test_user_2@test.com,57,33,24,57.8947
29/01/2018,test_user_2@test.com,48,47,1,97.9167
05/02/2018,test_user_2@test.com,2,1,1,50.0000
12/02/2018,test_user_2@test.com,36,19,17,52.7778
19/02/2018,test_user_2@test.com,54,5,49,9.2593
26/02/2018,test_user_2@test.com,81,68,13,83.9506
05/03/2018,test_user_2@test.com,71,7,64,9.8592
12/03/2018,test_user_2@test.com,68,64,4,94.1176
19/03/2018,test_user_2@test.com,97,48,49,49.4845
26/03/2018,test_user_2@test.com,63,20,43,31.7460
02/04/2018,test_user_2@test.com,10,7,3,70.0000
09/04/2018,test_user_2@test.com,57,10,47,17.5439
16/04/2018,test_user_2@test.com,17,13,4,76.4706
23/04/2018,test_user_2@test.com,95,45,50,47.3684
30/04/2018,test_user_2@test.com,6,4,2,66.6667
07/05/2018,test_user_2@test.com,89,10,79,11.2360
14/05/2018,test_user_2@test.com,61,59,2,96.7213
21/05/2018,test_user_2@test.com,68,60,8,88.2353
28/05/2018,test_user_2@test.com,89,52,37,58.4270
04/06/2018,test_user_2@test.com,11,4,7,36.3636
11/06/2018,test_user_2@test.com,49,26,23,53.0612
18/06/2018,test_user_2@test.com,73,70,3,95.8904
25/06/2018,test_user_2@test.com,11,4,7,36.3636
02/07/2018,test_user_2@test.com,26,16,10,61.5385
09/07/2018,test_user_2@test.com,85,10,75,11.7647
16/07/2018,test_user_2@test.com,8,0,8,0.0000
23/07/2018,test_user_2@test.com,95,49,46,51.5789
01/01/2018,test_user_3@test.com,30,16,14,53.3333
08/01/2018,test_user_3@test.com,61,19,42,31.1475
15/01/2018,test_user_3@test.com,21,8,13,38.0952
22/01/2018,test_user_3@test.com,50,39,11,78.0000
29/01/2018,test_user_3@test.com,4,2,2,50.0000
05/02/2018,test_user_3@test.com,55,4,51,7.2727
12/02/2018,test_user_3@test.com,59,40,19,67.7966
19/02/2018,test_user_3@test.com,16,6,10,37.5000
26/02/2018,test_user_3@test.com,78,18,60,23.0769
05/03/2018,test_user_3@test.com,3,0,3,0.0000
12/03/2018,test_user_3@test.com,85,21,64,24.7059
19/03/2018,test_user_3@test.com,85,28,57,32.9412
26/03/2018,test_user_3@test.com,17,4,13,23.5294
02/04/2018,test_user_3@test.com,6,2,4,33.3333
09/04/2018,test_user_3@test.com,5,1,4,20.0000
16/04/2018,test_user_3@test.com,13,9,4,69.2308
23/04/2018,test_user_3@test.com,15,2,13,13.3333
30/04/2018,test_user_3@test.com,93,19,74,20.4301
07/05/2018,test_user_3@test.com,18,9,9,50.0000
14/05/2018,test_user_3@test.com,23,17,6,73.9130
21/05/2018,test_user_3@test.com,70,8,62,11.4286
28/05/2018,test_user_3@test.com,44,13,31,29.5455
04/06/2018,test_user_3@test.com,59,8,51,13.5593
11/06/2018,test_user_3@test.com,45,23,22,51.1111
18/06/2018,test_user_3@test.com,89,71,18,79.7753
25/06/2018,test_user_3@test.com,78,17,61,21.7949
02/07/2018,test_user_3@test.com,21,4,17,19.0476
09/07/2018,test_user_3@test.com,73,28,45,38.3562
16/07/2018,test_user_3@test.com,62,49,13,79.0323
23/07/2018,test_user_3@test.com,17,5,12,29.4118
01/01/2018,test_user_4@test.com,72,2,70,2.7778
08/01/2018,test_user_4@test.com,13,1,12,7.6923
15/01/2018,test_user_4@test.com,70,9,61,12.8571
22/01/2018,test_user_4@test.com,99,65,34,65.6566
29/01/2018,test_user_4@test.com,91,15,76,16.4835
05/02/2018,test_user_4@test.com,51,20,31,39.2157
12/02/2018,test_user_4@test.com,49,38,11,77.5510
19/02/2018,test_user_4@test.com,17,11,6,64.7059
26/02/2018,test_user_4@test.com,100,52,48,52.0000
05/03/2018,test_user_4@test.com,86,9,77,10.4651
12/03/2018,test_user_4@test.com,2,1,1,50.0000
19/03/2018,test_user_4@test.com,79,68,11,86.0759
26/03/2018,test_user_4@test.com,59,52,7,88.1356
02/04/2018,test_user_4@test.com,84,71,13,84.5238
09/04/2018,test_user_4@test.com,42,15,27,35.7143
16/04/2018,test_user_4@test.com,36,5,31,13.8889
23/04/2018,test_user_4@test.com,59,25,34,42.3729
30/04/2018,test_user_4@test.com,55,17,38,30.9091
07/05/2018,test_user_4@test.com,9,0,9,0.0000
14/05/2018,test_user_4@test.com,12,6,6,50.0000
21/05/2018,test_user_4@test.com,29,8,21,27.5862
28/05/2018,test_user_4@test.com,71,33,38,46.4789
04/06/2018,test_user_4@test.com,85,39,46,45.8824
11/06/2018,test_user_4@test.com,39,26,13,66.6667
18/06/2018,test_user_4@test.com,26,22,4,84.6154
25/06/2018,test_user_4@test.com,59,49,10,83.0508
02/07/2018,test_user_4@test.com,11,10,1,90.9091
09/07/2018,test_user_4@test.com,84,63,21,75.0000
16/07/2018,test_user_4@test.com,1,0,1,0.0000
23/07/2018,test_user_4@test.com,46,13,33,28.2609
01/01/2018,test_user_5@test.com,70,32,38,45.7143
08/01/2018,test_user_5@test.com,5,2,3,40.0000
15/01/2018,test_user_5@test.com,37,20,17,54.0541
22/01/2018,test_user_5@test.com,42,4,38,9.5238
29/01/2018,test_user_5@test.com,97,18,79,18.5567
05/02/2018,test_user_5@test.com,93,73,20,78.4946
12/02/2018,test_user_5@test.com,11,3,8,27.2727
19/02/2018,test_user_5@test.com,86,2,84,2.3256
26/02/2018,test_user_5@test.com,29,10,19,34.4828
05/03/2018,test_user_5@test.com,75,30,45,40.0000
12/03/2018,test_user_5@test.com,32,11,21,34.3750
19/03/2018,test_user_5@test.com,85,0,85,0.0000
26/03/2018,test_user_5@test.com,5,4,1,80.0000
02/04/2018,test_user_5@test.com,94,56,38,59.5745
09/04/2018,test_user_5@test.com,41,33,8,80.4878
16/04/2018,test_user_5@test.com,29,11,18,37.9310
23/04/2018,test_user_5@test.com,70,55,15,78.5714
30/04/2018,test_user_5@test.com,74,63,11,85.1351
07/05/2018,test_user_5@test.com,94,9,85,9.5745
14/05/2018,test_user_5@test.com,64,9,55,14.0625
21/05/2018,test_user_5@test.com,66,2,64,3.0303
28/05/2018,test_user_5@test.com,51,49,2,96.0784
04/06/2018,test_user_5@test.com,49,5,44,10.2041
11/06/2018,test_user_5@test.com,42,41,1,97.6190
18/06/2018,test_user_5@test.com,87,35,52,40.2299
25/06/2018,test_user_5@test.com,37,1,36,2.7027
02/07/2018,test_user_5@test.com,33,10,23,30.3030
09/07/2018,test_user_5@test.com,92,84,8,91.3043
16/07/2018,test_user_5@test.com,49,22,27,44.8980
23/07/2018,test_user_5@test.com,13,4,9,30.7692
