date,user,cost
23/02/2018,test_user_1@test.com,88
10/07/2018,test_user_1@test.com,322
17/04/2018,test_user_1@test.com,491
10/03/2018,test_user_1@test.com,228
08/05/2018,test_user_1@test.com,272
01/02/2018,test_user_1@test.com,110
13/05/2018,test_user_1@test.com,245
05/01/2018,test_user_1@test.com,410
13/04/2018,test_user_1@test.com,273
15/02/2018,test_user_1@test.com,381
22/04/2018,test_user_1@test.com,145
18/04/2018,test_user_1@test.com,200
27/05/2018,test_user_1@test.com,253
21/01/2018,test_user_1@test.com,368
25/02/2018,test_user_1@test.com,456
29/03/2018,test_user_1@test.com,434
23/05/2018,test_user_1@test.com,344
07/02/2018,test_user_1@test.com,98
27/02/2018,test_user_1@test.com,376
23/05/2018,test_user_1@test.com,469
03/04/2018,test_user_1@test.com,350
26/04/2018,test_user_1@test.com,234
08/03/2018,test_user_1@test.com,430
07/01/2018,test_user_1@test.com,83
31/05/2018,test_user_1@test.com,45
29/07/2018,test_user_1@test.com,274
08/04/2018,test_user_1@test.com,244
26/03/2018,test_user_1@test.com,337
20/03/2018,test_user_1@test.com,275
12/07/2018,test_user_2@test.com,48
20/04/2018,test_user_2@test.com,105
04/01/2018,test_user_2@test.com,211
11/04/2018,test_user_2@test.com,90
24/05/2018,test_user_2@test.com,236
14/07/2018,test_user_2@test.com,110
06/02/2018,test_user_2@test.com,389
18/04/2018,test_user_2@test.com,375
22/06/2018,test_user_2@test.com,138
23/02/2018,test_user_2@test.com,441
26/01/2018,test_user_2@test.com,330
21/05/2018,test_user_2@test.com,474
08/02/2018,test_user_2@test.com,468
28/01/2018,test_user_2@test.com,113
05/02/2018,test_user_2@test.com,411
18/03/2018,test_user_2@test.com,426
03/05/2018,test_user_2@test.com,352
22/05/2018,test_user_2@test.com,135
22/01/2018,test_user_2@test.com,54
28/04/2018,test_user_2@test.com,117
08/07/2018,test_user_2@test.com,230
06/02/2018,test_user_2@test.com,22
26/03/2018,test_user_2@test.com,251
08/06/2018,test_user_2@test.com,48
01/04/2018,test_user_2@test.com,457
31/01/2018,test_user_2@test.com,382
31/01/2018,test_user_2@test.com,461
10/01/2018,test_user_2@test.com,392
14/03/2018,test_user_2@test.com,257
03/05/2018,test_user_3@test.com,361
17/04/2018,test_user_3@test.com,264
25/07/2018,test_user_3@test.com,477
04/04/2018,test_user_3@test.com,466
11/05/2018,test_user_3@test.com,348
26/05/2018,test_user_3@test.com,164
26/04/2018,test_user_3@test.com,291
26/01/2018,test_user_3@test.com,37
29/05/2018,test_user_3@test.com,77
15/06/2018,test_user_3@test.com,500
27/07/2018,test_user_3@test.com,308
04/03/2018,test_user_3@test.com,89
04/06/2018,test_user_3@test.com,302
02/04/2018,test_user_3@test.com,204
14/06/2018,test_user_3@test.com,426
06/03/2018,test_user_3@test.com,463
25/04/2018,test_user_3@test.com,27
03/04/2018,test_user_3@test.com,323
26/05/2018,test_user_3@test.com,75
19/02/2018,test_user_3@test.com,467
25/05/2018,test_user_3@test.com,133
13/04/2018,test_user_3@test.com,284
17/03/2018,test_user_3@test.com,33
16/07/2018,test_user_3@test.com,178
24/02/2018,test_user_3@test.com,88
09/07/2018,test_user_3@test.com,255
22/04/2018,test_user_3@test.com,358
28/07/2018,test_user_3@test.com,403
25/02/2018,test_user_3@test.com,319
27/06/2018,test_user_4@test.com,221
06/06/2018,test_user_4@test.com,78
06/03/2018,test_user_4@test.com,476
26/06/2018,test_user_4@test.com,383
02/07/2018,test_user_4@test.com,297
14/07/2018,test_user_4@test.com,345
12/04/2018,test_user_4@test.com,107
19/04/2018,test_user_4@test.com,63
04/06/2018,test_user_4@test.com,443
25/01/2018,test_user_4@test.com,239
31/01/2018,test_user_4@test.com,115
18/04/2018,test_user_4@test.com,432
20/03/2018,test_user_4@test.com,114
01/03/2018,test_user_4@test.com,50
17/04/2018,test_user_4@test.com,102
20/07/2018,test_user_4@test.com,375
16/04/2018,test_user_4@test.com,252
02/01/2018,test_user_4@test.com,221
10/07/2018,test_user_4@test.com,431
21/07/2018,test_user_4@test.com,228
20/07/2018,test_user_4@test.com,384
30/04/2018,test_user_4@test.com,381
19/06/2018,test_user_4@test.com,381
28/02/2018,test_user_4@test.com,333
28/07/2018,test_user_4@test.com,420
12/07/2018,test_user_4@test.com,152
12/06/2018,test_user_4@test.com,431
02/04/2018,test_user_4@test.com,166
01/07/2018,test_user_4@test.com,378
13/06/2018,test_user_5@test.com,161
08/02/2018,test_user_5@test.com,192
08/01/2018,test_user_5@test.com,306
07/06/2018,test_user_5@test.com,441
13/02/2018,test_user_5@test.com,181
26/01/2018,test_user_5@test.com,86
04/03/2018,test_user_5@test.com,237
17/06/2018,test_user_5@test.com,418
23/05/2018,test_user_5@test.com,410
03/05/2018,test_user_5@test.com,423
17/05/2018,test_user_5@test.com,130
16/03/2018,test_user_5@test.com,105
17/07/2018,test_user_5@test.com,497
14/04/2018,test_user_5@test.com,398
29/04/2018,test_user_5@test.com,451
07/05/2018,test_user_5@test.com,223
30/05/2018,test_user_5@test.com,328
23/02/2018,test_user_5@test.com,73
17/06/2018,test_user_5@test.com,498
14/06/2018,test_user_5@test.com,307
24/04/2018,test_user_5@test.com,241
15/03/2018,test_user_5@test.com,431
25/04/2018,test_user_5@test.com,249
20/07/2018,test_user_5@test.com,88
19/07/2018,test_user_5@test.com,329
15/04/2018,test_user_5@test.com,68
12/01/2018,test_user_5@test.com,109
12/05/2018,test_user_5@test.com,495
25/03/2018,test_user_5@test.com,112
